date,2021-10-24,,,
ArrList,add,64,31.25,496
ArrList,add,128,23.44,1104
ArrList,add,256,23.44,2288
ArrList,add,512,21.48,5120
ArrList,add,768,13.02,7920
ArrList,add,1024,4.88,10032
ArrList,add,16384,6.53,136960
ArrList,add,131072,6.29,0
ArrList,add,262144,7.44,0
ArrList,add,524288,7.34,0
ArrList,add,1048576,8.98,0
kvec_t,add,64,31.25,272
kvec_t,add,128,7.81,528
kvec_t,add,256,3.91,1040
kvec_t,add,512,3.91,2064
kvec_t,add,768,3.91,4112
kvec_t,add,1024,2.93,4112
kvec_t,add,16384,2.44,65552
kvec_t,add,131072,2.41,524304
kvec_t,add,262144,2.40,1048592
kvec_t,add,524288,2.60,2097168
kvec_t,add,1048576,2.67,4194320
GArray,add,64,31.25,272
GArray,add,128,15.62,528
GArray,add,256,11.72,1040
GArray,add,512,7.81,2064
GArray,add,768,7.81,4112
GArray,add,1024,7.81,4112
GArray,add,16384,7.14,65552
GArray,add,131072,7.71,524304
GArray,add,262144,7.08,1048592
GArray,add,524288,7.62,2097168
GArray,add,1048576,10.65,4194320
CC_Array,add,64,31.25,144
CC_Array,add,128,39.06,0
CC_Array,add,256,19.53,2064
CC_Array,add,512,15.62,4112
CC_Array,add,768,20.83,8208
CC_Array,add,1024,14.65,8208
CC_Array,add,16384,7.14,131088
CC_Array,add,131072,8.16,1048592
CC_Array,add,262144,27.66,2097168
CC_Array,add,524288,15.04,4194320
CC_Array,add,1048576,14.61,8388624
RhMap,ins,64,328.12,5520
RhMap,del,64,125.00,0
RhMap,ins,128,226.56,10384
RhMap,del,128,117.19,0
RhMap,ins,256,187.50,11904
RhMap,del,256,101.56,0
RhMap,ins,512,531.25,24192
RhMap,del,512,625.00,0
RhMap,ins,768,585.94,48768
RhMap,del,768,101.56,0
RhMap,ins,1024,1197.27,48768
RhMap,del,1024,330.08,0
RhMap,ins,16384,1936.58,786048
RhMap,del,16384,1127.75,0
RhMap,ins,131072,1263.61,6291072
RhMap,del,131072,144.98,0
RhMap,ins,262144,1135.48,12582528
RhMap,del,262144,673.58,0
RhMap,ins,524288,913.05,25165440
RhMap,del,524288,290.45,0
RhMap,ins,1048576,2165.10,0
RhMap,del,1048576,1488.59,0
khash_t,ins,64,250.00,1936
khash_t,del,64,46.88,0
khash_t,ins,128,132.81,3328
khash_t,del,128,46.88,0
khash_t,ins,256,121.09,6448
khash_t,del,256,42.97,0
khash_t,ins,512,173.83,13584
khash_t,del,512,62.50,0
khash_t,ins,768,177.08,13440
khash_t,del,768,71.61,0
khash_t,ins,1024,187.50,25728
khash_t,del,1024,48.83,0
khash_t,ins,16384,213.68,403344
khash_t,del,16384,76.60,0
khash_t,ins,131072,336.92,3211840
khash_t,del,131072,84.56,0
khash_t,ins,262144,334.06,6422608
khash_t,del,262144,72.33,0
khash_t,ins,524288,331.13,12845104
khash_t,del,524288,64.56,0
khash_t,ins,1048576,368.02,25690208
khash_t,del,1048576,70.27,0
hsearch,ins,64,46.88,0
hsearch,ins,128,39.06,0
hsearch,ins,256,31.25,0
hsearch,ins,512,31.25,0
hsearch,ins,768,37.76,0
hsearch,ins,1024,34.18,0
hsearch,ins,16384,41.26,0
hsearch,ins,131072,197.16,0
hsearch,ins,262144,277.33,0
hsearch,ins,524288,283.81,0
hsearch,ins,1048576,367.69,0
GHashTable,ins,64,687.50,2144
GHashTable,del,64,328.12,0
GHashTable,ins,128,445.31,4096
GHashTable,del,128,343.75,0
GHashTable,ins,256,500.00,8208
GHashTable,del,256,242.19,0
GHashTable,ins,512,455.08,16336
GHashTable,del,512,308.59,0
GHashTable,ins,768,283.85,16336
GHashTable,del,768,117.19,0
GHashTable,ins,1024,86.91,32720
GHashTable,del,1024,61.52,0
GHashTable,ins,16384,145.26,524240
GHashTable,del,16384,153.81,0
GHashTable,ins,131072,101.39,4194256
GHashTable,del,131072,86.52,0
GHashTable,ins,262144,148.98,8388560
GHashTable,del,262144,106.51,0
GHashTable,ins,524288,143.34,16777168
GHashTable,del,524288,103.71,0
GHashTable,ins,1048576,169.04,33554384
GHashTable,del,1048576,114.73,0
CC_HashTable,ins,64,156.25,6752
CC_HashTable,del,64,78.12,0
CC_HashTable,ins,128,109.38,13920
CC_HashTable,del,128,46.88,0
CC_HashTable,ins,256,93.75,28256
CC_HashTable,del,256,50.78,0
CC_HashTable,ins,512,93.75,56928
CC_HashTable,del,512,50.78,0
CC_HashTable,ins,768,91.15,69216
CC_HashTable,del,768,61.20,0
CC_HashTable,ins,1024,95.70,114272
CC_HashTable,del,1024,48.83,0
CC_HashTable,ins,16384,92.22,1834608
CC_HashTable,del,16384,54.75,0
CC_HashTable,ins,131072,161.23,14679664
CC_HashTable,del,131072,87.26,0
CC_HashTable,ins,262144,186.39,29359728
CC_HashTable,del,262144,93.51,0
CC_HashTable,ins,524288,189.16,25165408
CC_HashTable,del,524288,72.72,0
CC_HashTable,ins,1048576,178.99,50331248
CC_HashTable,del,1048576,90.56,0
